순위,게임명,서비스,장르
1,리그 오브 레전드,Riot Games ,MOBA
2,피파온라인4,NEXON ,스포츠
3,메이플스토리,NEXON ,MMORPG
4,로스트아크,Smilegate,MMORPG
5,발로란트,Riot Games ,FPS
6,마인크래프트,Xbox game studio,샌드박스
7,나이트 워커,NEXON ,액션
8,던전앤파이터,NEXON ,MMORPG
9,아이온,NCSOFT ,MMORPG
10,서든어택,NEXON ,FPS
11,배틀그라운드,PUBG,FPS
12,천하제일상 거상,에이케이인터렉티브,MMORPG
13,카트라이더,NEXON ,레이싱
14,사이퍼즈,NEXON ,액션
15,검은사막,Pearlabyss,MMORPG
16,리니지,NCSOFT ,MMORPG
17,마비노기,NEXON ,MMORPG
18,테일즈런너,Smilegate,MMORPG
19,아키에이지,XLgames,MMORPG
20,폴가이즈,Devolver Digital,아케이드
21,오버워치2,Blizzard Entertainment,FPS
22,크레이지 아케이드,NEXON ,아케이드
23,스타크래프트,Blizzard Entertainment,RTS
24,바람의나라,NEXON ,MMORPG
25,월드 오브 워크래프트,Blizzard Entertainment,MMORPG
26,디아블로2 레저렉션,Blizzard Entertainment,MMORPG
27,엘소드,NEXON ,MMORPG
28,리니지2,NCSOFT ,MMORPG
29,블레이드앤소울,NCSOFT ,MMORPG
30,스페셜포스,Dragonfly ,FPS
31,파이널 판타지14,액토즈소프트,MMORPG
32,라테일,액토즈소프트,MMORPG
33,패스 오브 엑자일,KAKAO GAMES,MMORPG
34,마비노기 영웅전,NEXON ,MMORPG
35,카운터스트라이크 온라인,NEXON ,FPS
36,슬러거,NEOWIZ,스포츠
37,디아블로3,Blizzard Entertainment,롤플레잉
38,테일즈위버,NEXON ,MMORPG
39,아바,NEOWIZ,FPS
40,포트나이트,Blizzard Entertainment,FPS
